Date,BTC_Price,MSTR_Price,BTC_Holdings,NAV,Market_Cap,NAV_Premium
2022-08-02,22978.1171875,27.826000213623047,124391.0,2858270975.0703125,6789544052.124023,1.375402511288141
2022-08-03,22846.5078125,31.368000030517575,124391.0,2841899953.3046875,7653792007.446288,1.6931954443174957
2022-08-04,22630.95703125,30.930999755859375,124391.0,2815087376.0742188,7547163940.4296875,1.6809696937203378
2022-08-05,23289.314453125,31.915000915527344,124391.0,2896981114.138672,7787260223.388672,1.6880604037710387
2022-08-06,22961.279296875,,124391.0,2856176493.017578,,
2022-08-07,23175.890625,,124391.0,2882872210.734375,,
2022-08-08,23809.486328125,33.000999450683594,124391.0,2961685813.841797,8052243865.966797,1.7188042122272595
2022-08-09,23164.318359375,31.937999725341797,124391.0,2881432725.0410156,7792871932.983398,1.7045128852947524
2022-08-10,23947.642578125,33.58000183105469,124391.0,2978871207.935547,8193520446.777344,1.7505453827443973
2022-08-11,23957.529296875,33.69900131225586,124391.0,2980101026.767578,8222556320.19043,1.7591535475927063
2022-08-12,24402.818359375,35.284000396728516,124391.0,3035490978.5410156,8609296096.801758,1.8362120519098848
2022-08-13,24424.068359375,,124391.0,3038134287.2910156,,
2022-08-14,24319.333984375,,124391.0,3025106273.6503906,,
2022-08-15,24136.97265625,34.90800094604492,124391.0,3002422165.6835938,8517552230.834961,1.836893601501799
2022-08-16,23883.291015625,34.263999938964844,124391.0,2970866452.7246094,8360415985.107422,1.814133896001958
2022-08-17,23335.998046875,32.52000045776367,124391.0,2902788133.048828,7934880111.694336,1.7335374639830328
2022-08-18,23212.73828125,32.4379997253418,124391.0,2887455727.5429688,7914871932.983398,1.7411232170539368
2022-08-19,20877.552734375,28.299999237060547,124391.0,2596979662.1816406,6905199813.842773,1.6589348828561612
2022-08-20,21166.060546875,,124391.0,2632867437.486328,,
2022-08-21,21534.12109375,,124391.0,2678650856.9726562,,
2022-08-22,21398.908203125,26.80900001525879,124391.0,2661831590.294922,6541396003.723145,1.4574792889126318
2022-08-23,21528.087890625,26.579999923706055,124391.0,2677900380.8027344,6485519981.384277,1.4218675302029573
2022-08-24,21395.01953125,27.44099998474121,124391.0,2661347874.5117188,6695603996.276855,1.515869518751023
2022-08-25,21600.904296875,27.2810001373291,124391.0,2686958086.392578,6656564033.508301,1.4773605763405062
2022-08-26,20260.01953125,24.920000076293945,124391.0,2520164089.5117188,6080480018.615723,1.4127317915214856
2022-08-27,20041.73828125,,124391.0,2493011866.5429688,,
2022-08-28,19616.814453125,,124391.0,2440155166.638672,,
2022-08-29,20297.994140625,24.496000289916992,124391.0,2524887789.1464844,5977024070.739746,1.367243445998931
2022-08-30,19796.80859375,24.02300071716309,124391.0,2462544817.7851562,5861612174.987794,1.3803067999630567
2022-08-31,20049.763671875,23.1560001373291,124391.0,2494010152.908203,5650064033.508301,1.2654535014301773
2022-09-01,20127.140625,22.09199905395508,124391.0,2503635149.484375,5390447769.16504,1.153048446485985
2022-09-02,19969.771484375,21.805999755859375,124391.0,2484059844.7128906,5320663940.4296875,1.1419226077641675
2022-09-03,19832.087890625,,124391.0,2466933244.8027344,,
2022-09-04,19986.712890625,,124391.0,2486167203.1777344,,
2022-09-05,19812.37109375,,124391.0,2464480652.7226562,,
2022-09-06,18837.66796875,20.424999237060547,124391.0,2343236356.3007812,4983699813.842773,1.1268446951337154
2022-09-07,19290.32421875,21.861000061035156,124391.0,2399542719.8945312,5334084014.892578,1.222958554006086
2022-09-08,19329.833984375,23.450000762939453,124391.0,2404457379.1503906,5721800186.157227,1.3796638009774211
2022-09-09,21381.15234375,26.19700050354004,124391.0,2659622921.1914062,6392068122.86377,1.4033738286480006
2022-09-10,21680.5390625,,124391.0,2696863934.5234375,,
2022-09-11,21769.255859375,,124391.0,2707899505.6035156,,
2022-09-12,22370.44921875,26.29800033569336,124391.0,2782682548.7695312,6416712081.90918,1.305944702440662
2022-09-13,20296.70703125,23.125,124391.0,2524727684.3242188,5642500000.0,1.2348944937839108
2022-09-14,20241.08984375,22.599000930786133,124391.0,2517809406.7539062,5514156227.111816,1.190061015865756
